filepath,instrument,note,midi,velocity,articulation,pedal,seconds,fs,bits,peak_dbfs,source,soundfont
data/piano_A/A0/A0_v30_staccato_noped_01.wav,piano_A,A0,21,30,staccato,0,0.8,44100,16,-2.66,synth_sf2,piano.sf2
data/piano_A/A0/A0_v30_staccato_ped_01.wav,piano_A,A0,21,30,staccato,1,0.8,44100,16,-2.66,synth_sf2,piano.sf2
data/piano_A/A0/A0_v30_sustain_noped_01.wav,piano_A,A0,21,30,sustain,0,2.0,44100,16,-2.66,synth_sf2,piano.sf2
data/piano_A/A0/A0_v30_sustain_ped_01.wav,piano_A,A0,21,30,sustain,1,2.0,44100,16,-2.66,synth_sf2,piano.sf2
data/piano_A/A0/A0_v60_staccato_noped_01.wav,piano_A,A0,21,60,staccato,0,0.8,44100,16,-3.41,synth_sf2,piano.sf2
data/piano_A/A0/A0_v60_staccato_ped_01.wav,piano_A,A0,21,60,staccato,1,0.8,44100,16,-3.41,synth_sf2,piano.sf2
data/piano_A/A0/A0_v60_sustain_noped_01.wav,piano_A,A0,21,60,sustain,0,2.0,44100,16,-3.41,synth_sf2,piano.sf2
data/piano_A/A0/A0_v60_sustain_ped_01.wav,piano_A,A0,21,60,sustain,1,2.0,44100,16,-3.41,synth_sf2,piano.sf2
data/piano_A/A0/A0_v90_staccato_noped_01.wav,piano_A,A0,21,90,staccato,0,0.8,44100,16,-3.09,synth_sf2,piano.sf2
data/piano_A/A0/A0_v90_staccato_ped_01.wav,piano_A,A0,21,90,staccato,1,0.8,44100,16,-3.09,synth_sf2,piano.sf2
data/piano_A/A0/A0_v90_sustain_noped_01.wav,piano_A,A0,21,90,sustain,0,2.0,44100,16,-3.09,synth_sf2,piano.sf2
data/piano_A/A0/A0_v90_sustain_ped_01.wav,piano_A,A0,21,90,sustain,1,2.0,44100,16,-3.09,synth_sf2,piano.sf2
data/piano_A/A0/A0_v110_staccato_noped_01.wav,piano_A,A0,21,110,staccato,0,0.8,44100,16,-3.27,synth_sf2,piano.sf2
data/piano_A/A0/A0_v110_staccato_ped_01.wav,piano_A,A0,21,110,staccato,1,0.8,44100,16,-3.27,synth_sf2,piano.sf2
