filepath,note,midi,velocity,articulation,pedal,duration,take
data\piano_phase3\A0\A0_v110_portato_noped_t1.wav,A0,21,110,portato,0,1.214,1
data\piano_phase3\A0\A0_v30_sustain_ped_t1.wav,A0,21,30,sustain,1,1.897,1
data\piano_phase3\A0\A0_v60_portato_noped_t1.wav,A0,21,60,portato,0,1.214,1
data\piano_phase3\A0\A0_v60_legato_ped_t1.wav,A0,21,60,legato,1,2.378,1
data\piano_phase3\A0\A0_v110_staccato_ped_t1.wav,A0,21,110,staccato,1,0.768,1
data\piano_phase3\A0\A0_v60_portato_ped_t1.wav,A0,21,60,portato,1,1.214,1
data\piano_phase3\A0\A0_v90_legato_noped_t1.wav,A0,21,90,legato,0,2.379,1
data\piano_phase3\A0\A0_v30_legato_noped_t1.wav,A0,21,30,legato,0,2.37,1
data\piano_phase3\A0\A0_v90_portato_ped_t1.wav,A0,21,90,portato,1,1.225,1
data\piano_phase3\A0\A0_v60_sustain_noped_t1.wav,A0,21,60,sustain,0,1.902,1
data\piano_phase3\A0\A0_v90_staccato_noped_t1.wav,A0,21,90,staccato,0,0.769,1
data\piano_phase3\A0\A0_v60_staccato_ped_t1.wav,A0,21,60,staccato,1,0.769,1
data\piano_phase3\A0\A0_v110_sustain_noped_t1.wav,A0,21,110,sustain,0,1.904,1
data\piano_phase3\A0\A0_v60_legato_noped_t1.wav,A0,21,60,legato,0,2.378,1
data\piano_phase3\A0\A0_v110_staccato_noped_t1.wav,A0,21,110,staccato,0,0.768,1
data\piano_phase3\A0\A0_v90_sustain_noped_t1.wav,A0,21,90,sustain,0,1.903,1
data\piano_phase3\A0\A0_v110_legato_noped_t1.wav,A0,21,110,legato,0,2.379,1
data\piano_phase3\A0\A0_v30_staccato_ped_t1.wav,A0,21,30,staccato,1,0.761,1
data\piano_phase3\A0\A0_v60_sustain_ped_t1.wav,A0,21,60,sustain,1,1.902,1
data\piano_phase3\A0\A0_v90_portato_noped_t1.wav,A0,21,90,portato,0,1.225,1
data\piano_phase3\A0\A0_v30_portato_noped_t1.wav,A0,21,30,portato,0,1.229,1
data\piano_phase3\A0\A0_v90_staccato_ped_t1.wav,A0,21,90,staccato,1,0.769,1
data\piano_phase3\A#0\A#0_v90_legato_ped_t1.wav,A#0,22,90,legato,1,2.361,1
data\piano_phase3\A#0\A#0_v110_staccato_ped_t1.wav,A#0,22,110,staccato,1,0.772,1
data\piano_phase3\A#0\A#0_v30_legato_ped_t1.wav,A#0,22,30,legato,1,2.384,1
data\piano_phase3\A#0\A#0_v90_legato_noped_t1.wav,A#0,22,90,legato,0,2.361,1
data\piano_phase3\A#0\A#0_v60_sustain_ped_t1.wav,A#0,22,60,sustain,1,1.904,1
data\piano_phase3\A#0\A#0_v30_staccato_noped_t1.wav,A#0,22,30,staccato,0,0.766,1
data\piano_phase3\A#0\A#0_v90_portato_ped_t1.wav,A#0,22,90,portato,1,1.22,1
data\piano_phase3\A#0\A#0_v60_legato_ped_t1.wav,A#0,22,60,legato,1,2.378,1
data\piano_phase3\A#0\A#0_v30_sustain_ped_t1.wav,A#0,22,30,sustain,1,1.902,1
data\piano_phase3\A#0\A#0_v60_staccato_ped_t1.wav,A#0,22,60,staccato,1,0.771,1
data\piano_phase3\A#0\A#0_v110_sustain_noped_t1.wav,A#0,22,110,sustain,0,1.902,1
data\piano_phase3\A#0\A#0_v90_portato_noped_t1.wav,A#0,22,90,portato,0,1.22,1
data\piano_phase3\A#0\A#0_v90_staccato_ped_t1.wav,A#0,22,90,staccato,1,0.771,1
data\piano_phase3\A#0\A#0_v110_legato_ped_t1.wav,A#0,22,110,legato,1,2.361,1
data\piano_phase3\A#0\A#0_v90_staccato_noped_t1.wav,A#0,22,90,staccato,0,0.771,1
data\piano_phase3\A#0\A#0_v90_sustain_ped_t1.wav,A#0,22,90,sustain,1,1.905,1
data\piano_phase3\A#0\A#0_v60_legato_noped_t1.wav,A#0,22,60,legato,0,2.378,1
data\piano_phase3\A#0\A#0_v30_staccato_ped_t1.wav,A#0,22,30,staccato,1,0.766,1
data\piano_phase3\A#0\A#0_v110_sustain_ped_t1.wav,A#0,22,110,sustain,1,1.902,1
data\piano_phase3\A#0\A#0_v90_sustain_noped_t1.wav,A#0,22,90,sustain,0,1.905,1
data\piano_phase3\A#0\A#0_v60_portato_ped_t1.wav,A#0,22,60,portato,1,1.22,1
data\piano_phase3\A#0\A#0_v110_portato_noped_t1.wav,A#0,22,110,portato,0,1.219,1
data\piano_phase3\B0\B0_v110_sustain_noped_t1.wav,B0,23,110,sustain,0,1.855,1
data\piano_phase3\B0\B0_v90_sustain_ped_t1.wav,B0,23,90,sustain,1,1.853,1
data\piano_phase3\B0\B0_v60_sustain_ped_t1.wav,B0,23,60,sustain,1,1.868,1
data\piano_phase3\B0\B0_v60_staccato_ped_t1.wav,B0,23,60,staccato,1,0.736,1
data\piano_phase3\B0\B0_v90_portato_noped_t1.wav,B0,23,90,portato,0,1.19,1
data\piano_phase3\B0\B0_v110_portato_noped_t1.wav,B0,23,110,portato,0,1.19,1
data\piano_phase3\B0\B0_v30_staccato_ped_t1.wav,B0,23,30,staccato,1,0.737,1
data\piano_phase3\B0\B0_v30_staccato_noped_t1.wav,B0,23,30,staccato,0,0.737,1
data\piano_phase3\B0\B0_v60_legato_ped_t1.wav,B0,23,60,legato,1,2.349,1
data\piano_phase3\B0\B0_v110_sustain_ped_t1.wav,B0,23,110,sustain,1,1.855,1
data\piano_phase3\B0\B0_v90_portato_ped_t1.wav,B0,23,90,portato,1,1.19,1
data\piano_phase3\B0\B0_v60_portato_noped_t1.wav,B0,23,60,portato,0,1.19,1
data\piano_phase3\B0\B0_v30_sustain_noped_t1.wav,B0,23,30,sustain,0,1.838,1
data\piano_phase3\B0\B0_v110_staccato_ped_t1.wav,B0,23,110,staccato,1,0.745,1
