filepath,chord_name,chord_type,notes_midi,notes_names,base_note,base_note_name,velocity,articulation,pedal,duration,num_notes
data\piano\C_major\C_major_v60.wav,C_major,major,"[60, 64, 67]","['C4', 'E4', 'G4']",60,C4,60,sustain,1,2.335,3
data\piano\C_major\C_major_v90.wav,C_major,major,"[60, 64, 67]","['C4', 'E4', 'G4']",60,C4,90,sustain,1,2.334,3
data\piano\G_major\G_major_v60.wav,G_major,major,"[67, 71, 74]","['G4', 'B4', 'D5']",67,G4,60,sustain,1,2.316,3
data\piano\G_major\G_major_v90.wav,G_major,major,"[67, 71, 74]","['G4', 'B4', 'D5']",67,G4,90,sustain,1,2.307,3
data\piano\D_major\D_major_v60.wav,D_major,major,"[62, 66, 69]","['D4', 'F#4', 'A4']",62,D4,60,sustain,1,2.338,3
data\piano\D_major\D_major_v90.wav,D_major,major,"[62, 66, 69]","['D4', 'F#4', 'A4']",62,D4,90,sustain,1,2.333,3
data\piano\A_major\A_major_v60.wav,A_major,major,"[69, 73, 76]","['A4', 'C#5', 'E5']",69,A4,60,sustain,1,1.465,3
data\piano\A_major\A_major_v90.wav,A_major,major,"[69, 73, 76]","['A4', 'C#5', 'E5']",69,A4,90,sustain,1,1.441,3
data\piano\E_major\E_major_v60.wav,E_major,major,"[64, 68, 71]","['E4', 'G#4', 'B4']",64,E4,60,sustain,1,2.319,3
data\piano\E_major\E_major_v90.wav,E_major,major,"[64, 68, 71]","['E4', 'G#4', 'B4']",64,E4,90,sustain,1,2.188,3
data\piano\F_major\F_major_v60.wav,F_major,major,"[65, 69, 72]","['F4', 'A4', 'C5']",65,F4,60,sustain,1,2.22,3
data\piano\F_major\F_major_v90.wav,F_major,major,"[65, 69, 72]","['F4', 'A4', 'C5']",65,F4,90,sustain,1,1.982,3
data\piano\Bb_major\Bb_major_v60.wav,Bb_major,major,"[70, 74, 77]","['A#4', 'D5', 'F5']",70,A#4,60,sustain,1,1.627,3
data\piano\Bb_major\Bb_major_v90.wav,Bb_major,major,"[70, 74, 77]","['A#4', 'D5', 'F5']",70,A#4,90,sustain,1,1.553,3
data\piano\Eb_major\Eb_major_v60.wav,Eb_major,major,"[63, 67, 70]","['D#4', 'G4', 'A#4']",63,D#4,60,sustain,1,2.335,3
data\piano\Eb_major\Eb_major_v90.wav,Eb_major,major,"[63, 67, 70]","['D#4', 'G4', 'A#4']",63,D#4,90,sustain,1,2.337,3
data\piano\Ab_major\Ab_major_v60.wav,Ab_major,major,"[68, 72, 75]","['G#4', 'C5', 'D#5']",68,G#4,60,sustain,1,1.519,3
data\piano\Ab_major\Ab_major_v90.wav,Ab_major,major,"[68, 72, 75]","['G#4', 'C5', 'D#5']",68,G#4,90,sustain,1,1.497,3
data\piano\Db_major\Db_major_v60.wav,Db_major,major,"[61, 65, 68]","['C#4', 'F4', 'G#4']",61,C#4,60,sustain,1,2.312,3
data\piano\Db_major\Db_major_v90.wav,Db_major,major,"[61, 65, 68]","['C#4', 'F4', 'G#4']",61,C#4,90,sustain,1,2.3,3
